Place,No. of schools,Average no. of students
Paya Lebar,41,51820
Serangoon,52,62530
Bishan,33,66870
Punggol,17,20100
Tampines,34,60660
CBD,14,28600
Woodlands ,79,110900
Jurong,52,75490
Tuas,1,23000
Bouna Vista,20,74900
Tiong Bahru,7,8060
