,Bishan,Buona,Tampines,Woodlands,CBD,Toa Payoh,Punggol,Jurong,Tuas,Serangoon,Tiong Bahru,Paya Lebar,Town,CCK,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-03 15:35:00,167,1361,473,356,3222,76,291,917,240,332,761,301,1265,228,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0
2020-01-03 15:45:00,166,1361,476,356,3223,76,291,916,244,332,761,301,1265,228,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2020-01-03 15:55:00,166,1360,477,356,3223,76,291,916,246,332,761,302,1265,228,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 16:05:00,170,1333,469,355,3148,79,291,898,242,328,746,298,1248,228,0,0,0,0,0,0,2,17,1,0,0,6,2,4,10,13,9,0,0,0,0,21,4,31,0,1,33,0,1,8,1,3
2020-01-03 16:15:00,183,1307,465,353,3073,112,289,887,239,325,731,330,1259,234,0,0,2,2,0,0,5,36,0,1,0,8,1,8,16,21,22,0,0,2,0,20,2,12,0,7,41,0,1,5,0,1
2020-01-03 16:25:00,214,1309,466,354,3067,121,289,901,240,361,732,337,1231,239,0,0,9,2,0,0,8,29,0,3,0,10,3,0,2,4,13,0,2,0,0,18,0,0,1,16,7,0,9,0,3,0
2020-01-03 16:35:00,230,1303,475,359,3065,109,291,887,241,385,736,324,1217,246,0,0,28,0,0,0,14,17,0,3,0,13,4,0,3,2,0,6,15,0,0,5,0,0,6,5,2,0,9,0,0,0
2020-01-03 16:45:00,214,1304,484,366,3065,98,306,885,243,373,736,329,1214,254,0,0,43,0,0,0,20,11,3,5,0,2,3,0,1,4,0,11,13,0,2,1,0,0,2,0,0,0,8,0,0,0
2020-01-03 16:55:00,198,1308,492,388,3060,92,319,888,245,371,741,329,1215,256,0,0,36,0,0,0,20,6,4,3,0,0,2,0,0,3,1,7,3,0,0,1,0,2,2,0,3,0,5,0,0,0
2020-01-03 17:05:00,194,1201,467,401,2793,108,319,826,239,361,691,318,1163,260,0,0,19,1,0,0,12,74,11,0,0,13,7,7,46,49,35,5,5,3,0,67,14,121,3,8,104,0,6,30,3,16
2020-01-03 17:15:00,239,1137,446,402,2504,223,318,798,229,358,630,426,1173,283,0,0,15,5,0,0,9,136,9,1,0,26,12,18,45,77,87,4,3,6,0,106,11,51,3,15,155,1,6,27,3,3
2020-01-03 17:25:00,399,1119,449,404,2443,285,321,830,238,449,628,479,1063,305,0,0,33,4,0,0,28,115,4,11,2,41,10,4,11,20,59,4,6,0,0,72,2,3,3,55,60,1,36,3,0,1
2020-01-03 17:35:00,466,1097,485,423,2431,239,327,803,244,555,629,430,1000,331,0,0,101,0,0,0,73,77,2,18,1,41,10,0,6,10,6,18,38,0,0,25,0,1,18,28,13,0,51,0,3,0
2020-01-03 17:45:00,425,1107,536,461,2427,189,365,793,251,539,637,417,988,345,0,0,168,0,0,0,104,35,3,29,0,8,11,0,5,8,0,32,49,0,1,4,0,0,18,3,4,0,38,0,0,0
2020-01-03 17:55:00,363,1132,573,551,2418,167,414,790,259,525,647,422,984,344,0,0,141,0,0,0,86,14,17,12,0,2,10,0,2,25,3,21,19,0,3,3,1,5,12,1,4,0,27,1,0,2
2020-01-03 18:05:00,331,921,542,616,1818,209,421,658,246,492,545,399,872,363,0,0,76,7,0,0,51,135,30,0,0,30,17,18,115,135,87,7,15,12,0,138,28,279,10,21,234,0,25,58,8,31
2020-01-03 18:15:00,405,760,490,641,1081,463,423,563,230,516,396,613,922,419,0,0,46,12,0,0,29,309,21,3,1,54,47,37,143,183,201,5,13,13,0,256,21,167,8,42,345,0,24,77,3,18
2020-01-03 18:25:00,738,690,495,652,864,652,433,590,253,713,365,752,686,470,0,0,88,8,0,0,66,323,14,23,1,95,66,13,44,102,152,14,25,3,1,206,6,33,6,133,133,3,64,19,5,1
2020-01-03 18:35:00,952,616,559,686,829,594,458,556,294,970,374,637,501,542,0,0,231,3,0,0,177,233,10,35,2,90,60,1,24,33,36,47,111,0,2,86,0,2,31,79,39,1,95,0,4,0
2020-01-03 18:45:00,931,629,654,776,817,455,569,512,339,944,394,600,442,583,0,0,383,0,0,0,264,132,12,59,0,40,48,0,7,18,1,63,143,0,2,24,0,0,45,21,11,0,80,0,2,0
2020-01-03 18:55:00,764,683,734,967,809,391,712,510,368,896,431,602,431,601,0,0,372,0,0,0,256,64,32,34,0,6,31,1,1,51,0,43,90,0,4,5,1,2,29,1,5,0,71,0,2,0
2020-01-03 19:05:00,638,648,784,1135,587,386,797,480,389,864,416,610,366,631,0,0,225,5,0,0,170,78,80,8,0,24,19,6,43,118,36,21,33,5,3,57,17,116,29,8,89,0,45,21,6,7
2020-01-03 19:15:00,620,581,802,1208,297,474,826,497,389,858,378,706,398,732,0,0,103,6,0,0,72,141,87,3,0,20,47,11,48,156,79,11,23,4,0,100,10,72,18,11,141,0,38,27,1,5
2020-01-03 19:25:00,723,519,830,1233,194,564,848,554,415,933,379,761,300,823,0,0,64,2,0,0,34,148,49,14,2,37,74,3,17,103,49,8,19,1,1,89,5,16,7,52,65,0,50,10,4,1
2020-01-03 19:35:00,821,466,879,1257,173,551,867,566,459,1037,388,720,224,895,0,0,95,1,0,0,59,99,21,12,2,35,88,0,3,49,8,20,49,0,0,37,0,1,17,40,18,0,42,1,0,0
2020-01-03 19:45:00,804,458,921,1289,168,494,916,558,523,1046,393,702,194,928,0,0,147,0,0,0,105,50,13,23,0,15,66,0,2,13,2,26,59,0,0,12,0,0,20,6,5,0,42,0,0,0
2020-01-03 19:55:00,739,481,963,1359,167,464,975,547,571,1024,410,707,185,940,0,0,150,0,0,0,108,19,15,16,0,7,35,0,0,15,0,16,32,0,1,3,1,1,18,0,1,0,30,0,0,0
2020-01-03 20:05:00,691,490,990,1428,111,456,1006,539,594,1004,403,703,175,958,0,0,99,1,0,0,66,16,31,4,0,2,14,4,15,45,14,11,21,1,0,11,3,24,8,1,30,0,27,3,0,1
2020-01-03 20:15:00,673,487,1015,1459,47,475,1026,557,604,996,390,732,177,991,0,0,46,2,0,0,32,27,37,0,0,4,12,6,13,51,27,4,11,1,0,20,3,17,5,3,33,1,11,2,0,3
2020-01-03 20:25:00,693,470,1025,1473,21,491,1037,575,608,1013,388,744,161,1028,0,0,25,1,0,0,14,34,20,3,1,10,30,3,4,39,16,2,3,0,0,18,1,4,3,8,16,0,16,1,0,1
2020-01-03 20:35:00,710,456,1041,1477,12,490,1040,590,626,1031,386,738,144,1054,0,0,28,0,0,0,13,31,11,2,2,4,32,1,3,16,5,5,11,0,0,9,1,1,3,7,6,0,14,0,0,0
2020-01-03 20:45:00,715,449,1055,1489,9,481,1051,589,650,1030,388,734,139,1065,0,0,32,0,0,0,23,17,3,4,0,4,21,0,3,10,2,4,11,0,0,3,0,1,5,1,1,0,11,0,0,0
2020-01-03 20:55:00,701,454,1066,1502,9,471,1062,587,667,1028,391,737,138,1070,0,0,31,0,0,0,28,7,6,2,0,3,12,0,1,4,0,3,11,0,0,2,0,0,1,0,0,0,6,0,0,0
2020-01-03 21:05:00,687,459,1072,1516,9,469,1073,586,675,1027,392,735,137,1077,0,0,24,0,0,0,18,5,5,2,0,1,8,0,0,8,0,3,5,0,0,0,0,0,2,0,0,0,5,0,0,0
2020-01-03 21:15:00,682,462,1077,1525,9,468,1078,591,682,1025,394,737,137,1083,0,0,14,0,0,0,5,2,7,0,0,0,4,0,0,11,0,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0
2020-01-03 21:25:00,679,457,1080,1531,9,468,1079,598,684,1024,395,738,137,1090,0,0,6,0,0,0,1,0,4,0,0,0,6,0,0,9,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0
2020-01-03 21:35:00,678,455,1083,1533,9,468,1080,602,688,1024,395,736,137,1094,0,0,2,0,0,0,0,0,2,0,0,0,7,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0
2020-01-03 21:45:00,678,453,1086,1533,9,468,1081,603,693,1024,395,736,137,1096,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 21:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 22:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 22:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 22:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 22:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 22:45:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 22:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 23:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 23:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 23:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 23:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 23:45:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-03 23:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 00:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 00:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 00:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 00:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 00:45:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 00:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 01:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 01:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 01:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 01:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 01:45:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 01:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 02:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 02:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 02:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 02:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 02:45:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 02:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 03:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 03:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 03:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 03:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 03:45:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 03:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 04:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 04:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 04:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 04:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 04:45:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 04:55:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 05:05:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 05:15:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 05:25:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 05:35:00,678,453,1086,1533,9,468,1081,605,697,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 05:45:00,678,453,1082,1533,9,468,1081,605,692,1024,395,736,137,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
2020-01-04 05:55:00,678,453,1078,1533,9,468,1077,609,681,1024,395,735,136,1098,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,1,0,0,0,5,0,0,0,4,0,0
2020-01-04 06:05:00,687,453,1071,1533,8,466,1074,610,668,1028,395,737,136,1093,0,0,0,0,0,0,0,0,0,5,0,0,0,19,5,0,0,0,0,3,0,0,0,1,0,1,0,0,0,7,0,0
2020-01-04 06:15:00,683,452,1047,1527,7,466,1062,601,655,1031,394,731,136,1072,0,0,0,11,0,0,9,6,0,21,0,0,0,25,16,0,1,0,0,12,0,1,0,1,0,9,0,0,0,24,0,0
2020-01-04 06:25:00,712,458,1037,1518,5,460,1037,608,634,1025,391,749,137,1049,0,0,0,27,0,0,17,13,14,23,0,0,0,23,16,3,2,0,0,25,0,2,0,0,0,3,0,0,0,10,0,2
2020-01-04 06:35:00,714,469,1007,1499,8,461,1026,602,615,1057,378,728,128,1039,0,0,24,54,0,0,22,22,4,14,10,0,0,30,21,3,12,0,0,11,0,2,0,0,0,10,0,0,0,30,0,0
2020-01-04 06:45:00,738,459,977,1442,5,450,984,591,604,1036,361,719,118,998,0,0,52,103,0,0,38,45,6,27,18,8,0,29,28,12,24,2,0,42,0,5,2,0,12,31,3,0,0,30,0,1
2020-01-04 06:55:00,763,453,960,1408,5,436,949,596,585,1103,355,731,116,971,0,0,61,115,0,0,44,60,35,21,20,12,15,22,24,19,18,7,18,35,0,0,0,0,4,9,2,1,9,17,0,1
2020-01-04 07:05:00,782,452,946,1391,5,432,936,599,580,1113,341,701,110,986,0,0,94,95,0,0,48,57,21,18,14,13,17,17,31,19,22,15,23,31,1,2,0,1,21,23,1,1,15,23,1,2
2020-01-04 07:15:00,787,449,949,1354,4,429,928,578,583,1076,338,702,110,972,0,0,115,91,0,0,47,51,42,27,21,16,29,19,21,30,23,18,59,31,2,2,2,1,27,19,1,1,29,12,3,2
2020-01-04 07:25:00,751,447,969,1381,6,438,968,589,592,1094,350,713,109,997,0,0,99,73,0,0,38,46,34,17,16,19,36,12,12,26,9,16,50,19,3,2,0,0,19,10,1,2,25,9,2,1
2020-01-04 07:35:00,738,441,978,1404,7,450,1002,596,577,1055,361,727,108,1031,0,0,84,47,0,0,33,32,28,12,7,14,34,41,9,24,4,14,42,16,0,0,1,2,29,7,1,2,24,16,1,1
2020-01-04 07:45:00,699,441,990,1431,6,456,1031,596,449,1038,369,748,110,1038,0,0,69,23,0,0,21,14,27,25,10,12,33,185,4,23,2,14,47,13,2,2,0,1,15,8,2,1,31,12,1,1
2020-01-04 07:55:00,688,446,975,1475,4,461,1071,678,367,1032,376,746,113,1001,0,0,37,4,0,0,10,4,19,71,5,9,17,174,51,13,1,8,33,7,2,0,1,2,13,10,1,0,28,46,1,0
2020-01-04 08:05:00,690,492,935,1543,5,461,1061,567,328,1018,383,777,115,815,0,0,8,23,0,0,18,6,11,212,2,1,5,99,254,6,2,0,17,43,0,3,0,0,5,15,0,0,12,68,0,0
2020-01-04 08:15:00,698,563,817,1384,5,462,1010,424,317,1091,324,756,101,658,0,0,1,373,0,0,42,190,27,167,2,0,5,36,225,2,61,0,3,68,1,9,0,0,1,43,0,0,4,130,0,0
2020-01-04 08:25:00,833,490,686,913,5,444,769,329,286,1085,236,762,88,575,0,0,0,871,0,0,120,491,119,79,31,0,1,42,128,7,145,0,0,244,0,5,1,1,1,76,0,1,0,135,0,1
2020-01-04 08:35:00,1330,366,483,577,4,448,489,324,225,1324,190,689,75,534,0,0,3,845,0,0,302,565,90,23,137,4,1,79,63,22,130,19,0,280,3,6,0,0,54,95,3,13,0,203,0,2
2020-01-04 08:45:00,1442,355,289,384,14,765,371,411,182,1090,148,853,128,444,0,0,11,476,0,0,551,401,65,5,179,8,16,71,100,38,59,178,6,118,178,0,4,2,237,35,0,171,6,194,1,14
2020-01-04 08:55:00,1080,430,220,317,188,883,322,405,154,670,142,826,465,347,0,0,20,205,0,0,628,207,21,8,162,2,46,58,232,159,19,313,12,55,368,0,112,28,139,25,1,543,66,75,26,21
2020-01-04 09:05:00,663,733,259,311,943,714,317,537,171,448,348,566,835,274,0,0,14,68,0,0,430,81,8,8,88,0,48,25,203,201,4,241,19,17,367,0,258,54,79,10,3,488,87,27,42,11
2020-01-04 09:15:00,379,1054,339,325,1887,454,331,724,199,354,567,409,1089,244,0,0,7,18,0,0,208,23,2,3,35,0,33,6,108,123,1,127,10,5,260,0,258,28,37,7,0,241,72,7,23,3
2020-01-04 09:25:00,222,1237,408,329,2577,257,339,849,225,338,684,339,1185,232,0,0,6,4,0,0,91,7,1,0,14,0,7,3,36,58,1,54,2,2,140,0,180,8,16,3,0,103,34,3,5,1
2020-01-04 09:35:00,177,1314,442,334,2974,145,341,914,232,326,731,323,1229,229,0,0,1,0,0,0,37,1,0,1,3,0,0,1,9,20,0,15,2,0,59,0,81,1,6,0,0,26,24,0,2,0
2020-01-04 09:45:00,158,1346,466,336,3130,100,343,936,232,323,749,318,1247,228,0,0,0,0,0,0,12,0,0,0,1,0,0,0,2,2,0,2,1,0,23,0,29,0,2,0,0,10,4,0,0,0
2020-01-04 09:55:00,157,1357,470,336,3189,81,344,939,232,323,750,318,1248,228,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,15,0,0,0,0,2,0,0,0,0
2020-01-04 10:05:00,157,1358,470,336,3214,75,344,940,232,323,751,318,1249,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
2020-01-04 10:15:00,157,1358,470,336,3218,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
2020-01-04 10:25:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 10:35:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 10:45:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 10:55:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 11:05:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 11:15:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 11:25:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 11:35:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 11:45:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 11:55:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-04 12:05:00,157,1358,470,336,3220,74,344,941,232,323,751,318,1248,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
