,Town,Tiong Bahru,Jurong,Woodlands,Paya Lebar,Serangoon,Buona,Punggol,Toa Payoh,CBD,Bishan,Tampines,Tuas,CCK,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona,Tiong Bahru->CBD,CBD->Tiong Bahru
2020-01-01 07:05:00,118,396,591,1423,726,999,454,881,440,41,785,934,616,1048,0,0,91,91,0,0,32,34,19,11,17,8,25,19,28,16,16,10,25,18,1,0,0,3,13,12,7,8,14,22,4,4,0,0
2020-01-01 07:10:00,121,395,561,1390,733,953,432,875,443,37,790,935,621,1019,0,0,94,119,0,0,30,45,39,28,26,22,28,17,24,32,14,11,50,28,1,0,1,0,9,4,7,12,26,9,11,8,0,0
2020-01-01 07:15:00,116,395,556,1368,705,908,428,865,441,34,798,929,627,1022,0,0,127,98,0,0,29,37,41,34,19,24,27,17,33,34,17,11,63,41,4,3,3,0,30,23,13,12,33,19,6,10,0,0
2020-01-01 07:20:00,117,387,584,1423,725,962,443,900,447,52,777,947,623,1055,0,0,108,66,0,0,24,38,24,10,15,7,31,18,22,24,4,6,36,25,2,3,0,1,16,6,13,11,23,14,5,6,0,0
2020-01-01 07:25:00,118,393,564,1399,731,956,439,915,455,39,754,957,632,1045,0,0,104,73,0,0,20,40,46,23,19,21,34,17,12,35,3,7,44,13,1,1,1,1,9,10,17,10,26,5,5,6,0,0
2020-01-01 07:30:00,116,395,563,1403,714,918,425,919,453,36,767,958,637,1049,0,0,110,52,0,0,21,30,43,27,10,31,36,17,11,36,4,13,52,17,1,1,3,1,34,18,18,5,30,12,7,7,0,0
2020-01-01 07:35:00,115,400,592,1457,749,931,431,946,460,33,744,974,651,1102,0,0,82,34,0,0,15,21,15,9,1,15,36,3,4,22,1,14,46,13,0,2,1,2,19,3,12,4,22,9,5,5,0,0
2020-01-01 07:40:00,114,404,576,1466,756,918,432,961,469,29,714,983,663,1086,0,0,72,31,0,0,9,15,28,24,13,15,38,3,4,23,1,14,57,10,2,2,1,0,9,7,10,2,29,5,1,4,0,0
2020-01-01 07:45:00,116,401,569,1475,744,898,427,981,471,28,715,990,659,1087,0,0,59,15,0,0,9,11,30,28,17,16,41,14,6,23,1,14,56,11,2,0,0,2,16,7,9,1,39,6,1,5,0,0
2020-01-01 07:50:00,120,408,591,1518,755,896,431,1012,480,22,720,1010,666,1111,0,0,32,1,0,0,7,5,17,14,4,5,31,21,2,15,0,6,37,6,2,0,0,2,6,2,7,3,29,2,1,3,0,0
2020-01-01 07:55:00,124,412,600,1534,758,896,430,1033,479,19,709,1026,673,1103,0,0,20,0,0,0,5,3,12,30,0,2,19,28,1,13,0,4,25,4,2,0,0,1,5,1,5,5,15,3,1,0,0,0
2020-01-01 08:00:00,127,416,613,1550,755,894,431,1038,479,18,706,1026,662,1092,0,0,8,1,0,0,4,2,8,39,2,1,10,38,4,8,0,3,15,11,0,0,0,0,4,1,3,8,10,13,0,0,0,0
2020-01-01 08:05:00,125,419,620,1551,756,888,435,1022,478,19,712,985,629,1074,0,0,4,22,0,0,4,0,7,25,18,0,3,68,13,1,0,0,6,36,0,0,2,0,1,0,2,10,8,56,0,1,0,0
2020-01-01 08:10:00,123,418,611,1454,762,896,438,992,478,24,705,947,577,1025,0,0,3,137,0,0,12,0,4,17,59,0,1,115,29,0,1,0,2,61,0,0,2,1,0,0,1,9,5,89,1,1,0,0
2020-01-01 08:15:00,124,423,630,1218,791,906,445,970,478,26,715,926,485,934,0,0,0,355,0,0,18,1,29,20,127,0,1,187,36,0,1,0,1,58,0,0,0,0,0,0,0,22,2,67,3,1,0,0
2020-01-01 08:20:00,123,426,668,991,782,891,453,891,463,25,764,860,394,801,0,0,0,551,0,0,34,3,68,27,201,0,1,238,62,2,1,0,0,103,0,0,1,0,0,1,0,68,1,92,9,5,0,0
2020-01-01 08:25:00,115,427,709,782,745,862,454,727,444,42,778,764,323,678,0,0,0,704,0,0,89,6,106,32,253,0,1,255,142,3,3,0,0,244,0,0,8,0,0,2,0,108,2,164,20,8,0,0
2020-01-01 08:30:00,105,442,770,648,761,902,484,577,421,94,771,640,279,599,0,0,0,801,0,0,167,10,99,22,248,0,0,207,248,9,2,1,0,314,0,0,10,0,7,2,3,108,1,221,19,8,0,0
