,Serangoon,Tuas,CBD,Buona,Paya Lebar,CCK,Jurong,Tampines,Town,Punggol,Woodlands,Tiong Bahru,Bishan,Toa Payoh,Bishan->Serangoon,Serangoon->Bishan,Bishan->Woodlands,Woodlands->Bishan,Bishan->Toa Payoh,Toa Payoh->Bishan,Bishan->Buona,Buona->Bishan,Woodlands->CCK,CCK->Woodlands,CCK->Jurong,Jurong->CCK,Jurong->Tuas,Tuas->Jurong,Jurong->Buona,Buona->Jurong,Tiong Bahru->Serangoon,Serangoon->Tiong Bahru,Serangoon->Punggol,Punggol->Serangoon,Toa Payoh->Town,Town->Toa Payoh,Town->CBD,CBD->Town,Serangoon->Paya Lebar,Paya Lebar->Serangoon,CBD->Paya Lebar,Paya Lebar->CBD,Paya Lebar->Tampines,Tampines->Paya Lebar,Buona->Tiong Bahru,Tiong Bahru->Buona
2020-01-01 07:10:00,1100,585,5,440,713,958,585,941,108,915,1377,332,785,427,0,0,97,120,0,0,50,67,41,28,28,21,26,18,23,29,25,14,51,29,1,1,0,0,12,10,1,0,26,6,2,3
2020-01-01 07:15:00,1050,590,4,436,684,961,581,935,104,905,1362,329,793,427,0,0,127,100,0,0,49,59,40,34,20,23,29,17,28,29,27,18,65,40,2,3,2,1,36,27,1,1,33,18,7,3
2020-01-01 07:20:00,1097,589,6,444,705,996,611,954,104,942,1411,342,782,436,0,0,113,69,0,0,44,48,20,10,14,9,31,14,17,24,14,15,39,24,2,3,0,0,19,9,0,3,24,13,3,0
2020-01-01 07:25:00,1099,596,6,441,709,982,585,963,105,959,1394,353,753,441,0,0,106,79,0,0,39,45,43,24,18,24,33,15,13,34,3,8,52,11,2,1,0,0,16,10,1,2,28,5,2,0
2020-01-01 07:30:00,1043,602,7,429,694,989,588,964,103,967,1394,352,764,440,0,0,115,54,0,0,37,34,44,27,9,26,37,17,13,33,3,16,61,14,3,1,3,0,46,15,2,3,31,14,4,2
2020-01-01 07:35:00,1055,579,8,441,735,1039,611,975,105,997,1447,360,737,445,0,0,88,37,0,0,27,24,20,9,1,9,36,41,5,22,1,14,47,14,1,1,0,2,22,5,1,3,19,16,1,0
2020-01-01 07:40:00,1039,505,9,436,739,1019,598,980,105,1016,1453,364,699,456,0,0,74,31,0,0,23,20,33,27,13,14,39,124,6,24,1,13,57,12,2,2,1,1,15,7,1,0,27,15,0,0
2020-01-01 07:45:00,1023,433,7,437,737,1023,590,984,107,1033,1466,363,694,457,0,0,60,14,0,0,19,14,33,29,16,16,39,206,6,21,1,12,57,11,4,1,0,2,25,9,2,0,36,10,1,2
2020-01-01 07:50:00,1019,385,6,440,751,1046,643,989,113,1065,1512,372,691,462,0,0,34,2,0,0,14,8,16,16,4,7,29,230,9,12,0,7,34,8,2,0,0,0,16,7,2,0,28,18,3,0
2020-01-01 07:55:00,1018,351,4,442,751,1010,686,967,115,1086,1530,377,689,460,0,0,19,0,0,0,10,4,10,61,1,2,19,193,54,10,0,6,25,4,2,0,0,2,6,8,1,1,23,53,0,0
2020-01-01 08:00:00,1019,336,4,451,761,914,645,945,118,1086,1544,379,695,460,0,0,9,1,0,0,5,1,9,155,0,0,7,136,179,8,0,4,15,13,0,1,0,0,4,5,0,1,18,72,0,0
